IndexKey,IndexName,Group,Date,SourceDate,Close,PE
NIFTYRURAL,NIFTY Rural,Strategy / Thematic / Other,2026-03-31,2026-03-30,13918.35,24.02
NIFTYRURAL,NIFTY Rural,Strategy / Thematic / Other,2026-06-30,2026-06-30,15178.25,23.81
NIFTYSERVICESSECTOR,NIFTY Services Sector,Strategy / Thematic / Other,2015-12-31,2015-12-31,10307.35,18.42
NIFTYSERVICESSECTOR,NIFTY Services Sector,Strategy / Thematic / Other,2016-03-31,2016-03-31,9963.4,18.1
NIFTYSERVICESSECTOR,NIFTY Services Sector,Strategy / Thematic / Other,2016-06-30,2016-06-30,10646.25,20.75
NIFTYSERVICESSECTOR,NIFTY Services Sector,Strategy / Thematic / Other,2016-09-30,2016-09-30,10926.15,21.2
NIFTYSERVICESSECTOR,NIFTY Services Sector,Strategy / Thematic / Other,2016-12-31,2016-12-30,10412.9,20.04
NIFTYSERVICESSECTOR,NIFTY Services Sector,Strategy / Thematic / Other,2017-03-31,2017-03-31,11881.25,22.38
NIFTYSERVICESSECTOR,NIFTY Services Sector,Strategy / Thematic / Other,2017-06-30,2017-06-30,12360.25,23.96
NIFTYSERVICESSECTOR,NIFTY Services Sector,Strategy / Thematic / Other,2017-09-30,2017-09-29,12869.25,25.77
NIFTYSERVICESSECTOR,NIFTY Services Sector,Strategy / Thematic / Other,2017-12-31,2017-12-29,13739.15,27.91
NIFTYSERVICESSECTOR,NIFTY Services Sector,Strategy / Thematic / Other,2018-03-31,2018-03-28,13536.5,26.21
NIFTYSERVICESSECTOR,NIFTY Services Sector,Strategy / Thematic / Other,2018-06-30,2018-06-29,14596.95,27.88
NIFTYSERVICESSECTOR,NIFTY Services Sector,Strategy / Thematic / Other,2018-09-30,2018-09-28,14471.5,29.85
NIFTYSERVICESSECTOR,NIFTY Services Sector,Strategy / Thematic / Other,2018-12-31,2018-12-31,14934.25,30.64
NIFTYSERVICESSECTOR,NIFTY Services Sector,Strategy / Thematic / Other,2019-03-31,2019-03-29,16197.35,34.24
